ID,Table code,Theory/framework/methodology,Literal definition,Primary approach,Secondary approach
TCA3_011,Table SM.3.11,Transition governance,"Transition governance is an area of sustainability transitions research that explores the role of actors in transition processes and how these can be influenced. The focus on agency, power, institutions as well as behaviour, expectations, emotions and culture is referred to as the socio-institutional perspective. It builds on the insights from sustainability transitions research that unsustainabilities are grounded in persistent societal regimes and that transitions are non-linear disruptive processes, which are both driven and worked against by different types of strategies and actions of actors. Transition then refers to structural reconfiguration, involving patterns of build-up and breakdown, from one stable societal system to another. This process of change evolves over decades. Transition governance identifies ways of and for actors to cope with the challenges of navigating complex, ambiguous and uncertain contexts towards just sustainability. Societal regimes are the dominant cultures, structures and practices in a complex societal system that remain in a dynamic equilibrium. Vested interests11, established routines, discourse and institutional conditions create path-dependencies and lock-ins that resist more structural change. These societal regimes provide stability to the system as well as inertia by being wired to resist change. Societal regimes generally have an interest in sustaining the status-quo and will work against transformative change, until it is inevitable. Alternatives to these societal regimes often emerge as a response to feelings of discontent as to how the societal regime operates and (dis)functions. These innovations can be considered radical, alternative, marginalized and outside the social norm. Initially, these emerge in protected environments, beyond the reach of the regime, allowing alternatives practices to be ‘nurtured’. Over time, some alternatives become better organized, visible and understood, contributing to further diffusion of these alternative – allowing them to spread, scale, or translate into other contexts, until they become a viable, stable alternative to the dominant system. As not all alternatives succeed, diversity and experimentation are vital.",Systems,
TCA3_012,Table SM.3.12,Leverage points for sustainability transformation,"transformation Leverage points are places to intervene in a system where a small shift can produce systemic change (Meadows, 1999). They occur within complex social-ecological systems and can be acted on in order

to induce change. Interventions in leverage points can “unlock” undesirable feedbacks and unleash the transformative potential of many interconnected systems to shift onto pathways for sustainability. Leverage points can be classified into deep and shallow ones (Abson et al., 2017). Interventions at deep leverage points have greater potential to change a system, while interventions at shallow leverage points may have minor influences (Chan et al., 2020). Therefore, the distinction between shallow and deep leverage points describes the extent to which interventions at these points can fundamentally alter the trajectory of a system and transform it. Following Abson et al.’s (2017) classification, more shallow places to intervene include parameters and feedbacks. Deeper places to intervene include the designs and intents of a system, not least because changing system design and intent automatically has repercussions for feedbacks and parameters. However, because social-ecological systems are complex and adaptive, interventions can have unintended consequences, making it crucial to not just understand possible interventions at different levels of systemic depth, but also interactions among leverage points. These interactions describe how one type of change in a system might precipitate further changes across different systemic depths (i.e., parameters, feedbacks, design, intent; Fischer & Riechers, 2019). Changes in parameters could pave the way for a questioning of system goals and paradigms and vice versa. Hence, sequences of how shallow to deep systemic changes flow on from and reinforce one another can be found, creating coherent chains of leverage. Alterative chains of leverage can highlight mismatching or even conflicting elements (such as conflicting paradigms, rules, institutions) and highlight possibly more effective alternatives (Riechers et al., 2022).",Systems,
TCA3_013,Table SM.3.13,Transformation flower approach,"The transformation flower approach is a theory of change that builds on and integrates the insights of various transformative change approaches, including transition management (Kemp et al., 2007; Rotmans & Loorbach, 2009), innovation systems12 (Bergek et al., 2008; Planko et al., 2016); sustainable market transformation (Nijhof et al., 2022), small-wins approach (Termeer & Dewulf, 2019), socio-ecological systems (Olsson et al., 2014; Westley et al., 2013) and transformative governance (Visseren-Hamakers et al., 2021). The transformation flower approach is a holistic, transdisciplinary and practically-relevant approach to achieving transitions/transformations and realizing collective agreements (at multiple governance levels) that are targeted at sustainability, equity and justice (Huntjens et al., 2023; Huntjens & Kemp, 2022).",Systems,"Knowledge co-creation, structural"
TCA3_014,Table SM.3.14,Metatheories of human action,"Many theories from across the social sciences and humanities aim to explain human action. This large number of theories can be overwhelming and hard to navigate. Yet this framework shows that this myriad of theories, at its foundation, is represented by only eight sets of assumptions, or metatheories.

Metatheories reflect the types of variables, timelines, scale of analysis, scale of change, levers, speed of implementation and what types of changes each theory enables. Each of the eight metatheories in this framework represents a unique perspective on human action; each is best suited for different action problems and none are sufficient to address the full range of problems facing humanity today. The synthetic understanding of human action enabled by this framework allows researchers and practitioners to determine which theory or theories may be most applicable for creating transformative change in a particular area. Sustainability solutions may be most effective when they combine insights from multiple metatheories. Nevertheless, most metatheories assume that many variables are static; this widespread assumption prevents the inclusion of feedbacks and interdependent relationships that are crucial to systems analysis and sustainability. The ‘Interdependent Metatheory’, which does account for these feedbacks, may thus be particularly important for understanding transformative change.",Systems,
TCA3_015,Table SM.3.15,Redesigning theories of change,"Addressing today’s polycrisis, the set of interacting global crises that include biodiversity loss and nature’s decline, climate change and inequality, demands significant system transformation, yet there is a risk that the idea of transformation becomes simply an ‘empty buzzword’(Vogel & O’Brien, 2022) because too little is understood about the processes or ‘how’ needed to accomplish transformative change (Bentz et al., 2022). Particular attention needs to be paid to the core values and principles,

mindsets including attitudes and beliefs and integrative approaches guiding significant transformative change, as well as the qualities, attributes and relationships among change stewards that motivate such change (Bentz et al., 2022; Wamsler, 2020).To date, however, rather than linking to the necessary and likely catalytic rather than direct action processes involved in accomplishing systemic change, most of the literature, which is both conceptual and empirical, currently emphasizes: 1) the different types of transition that have taken place, labelled quantum leap, convergent, emergent and gradual; 2) different transition pathways at different scales (multiple levels of analysis), including stability, four types of transition pathways (including, multilevel pathways, innovation strategies, diffusion of those innovations and acceleration to enhance niche innovations) and a sequential process and 3) overcoming a set of barriers to create enabling conditions for change (Fazey & Leicester, 2022). Initial stages of organizing for transformation include understanding the socio-ecological adaptive cycle (exploitation, conservation, release and reorganization) and providing different kinds of agency at the different phases of the cycle (Westley et al., 2013). It also means recognizing that there is still a significant need for fully process-based approaches that understand and implement processes that connect, cohere and amplify the work of change agents (Waddock, 2023) to go well beyond ‘blah blah blah’ (Bentz et al., 2022) to engage and achieve deliberate transformation.",Systems,
TCA3_016,Table SM.3.16,Value-centred leverage points to catalyze transformative change,"The framework focuses on values-centred leverage points to achieve transformative change towards more just and sustainable futures (Pascual et al., 2023). It emphasizes recognizing and addressing the diverse values associated with nature in order to drive meaningful change (IPBES, 2019b). The framework identifies four key 'values-centred leverage points' that work in synergy to catalyze transformative change. They range from short-term, easier to achieve actions (‘shallower leverage points’ namely undertaking valuation to recognize the values of nature; and embedding valuation in inclusive decision-making to meaningfully include the diverse values of nature in decision-making) to longer-term, harder to achieve efforts (‘deeper leverage points’ such as reforming policies, rights and regulations for institutions to embrace the diverse values of nature; and shifting societal norms and goals to mobilize sustainability-aligned values and shift developmental models; (IPBES, 2022). These leverage points are interdependent, whereby jointly activating them entails addressing feedbacks among them, adding them up (from shallow to deep) or cascading down (Pörtner et al., 2023). In summary, the framework emphasizes recognizing and integrating the diverse values of nature into decision-making processes, addressing institutional structures and societal norms and acknowledges the need for power dynamics to shift. It offers a comprehensive approach to driving transformative change for the benefit of both nature and society.",Systems,"inner, structure, empowerment"
TCA3_017,Table SM.3.17,Regenerative approaches,"Conceptualizations of regenerative discourse and praxis vary. A common theme is the need to move beyond sustainability, recognizing ecological damage and designing to produce mutual benefits across socio-technical and ecological systems (Mang & Reed, 2020). Building regenerative capacities is important, i.e., the ability of complex, interconnected, whole living systems to renew themselves. Humans participate as nature, not controlling it (Lyle, 1996; Reed, 2007; Wahl, 2016). Spirituality is infused in relations of

interbeing and interdependence (Wahl, 2016). Examples: permaculture - an ecological design system integrating human habitats and food production based on Indigenous Peoples’ knowledge (Mang & Reed, 2020), biophilic design, biomimicry and living buildings (Hes & Plessis, 2014). In agriculture, holistic land management frameworks (Allan Savory) and ongoing organic restoration of complex living systems based upon healthy soils (Robert Rodale) are important. Definitions include processes (e.g., reducing tillage) and/or outcomes (e.g., improved soil health, increased biodiversity) (Newton et al., 2020). In food systems, regenerative agriculture15 is a discursive alternative to industrial-productivist systems (Gordon et al., 2022). Agricultural work sits in nested, living systems, with the overall system having capacities to self-renew via continual learning and departures from industrial approaches to varying extents (Gordon et al., 2022), including wholesale shifts to food commoning (Duncan et al., 2020). In landscape design, regenerative principles and values are integrated into development and design frameworks and technologies (Gibbons et al., 2018). Regenerative cities create mutually enhancing relations with any natural systems that sustain them (Girardet, 2015) Regenerative businesses generate value for all stakeholders, while enhancing socio-ecological well-being and human potential (Sandford, 2020). Regenerative economy concepts propose a regenerative form of capitalism (Fullerton, 2015), operating within Earth boundaries (Raworth, 2017) and requiring business, governmental and civic cooperation for natural and social capital regeneration 15 (B. Caniglia, 2020).",Systems,"Knowledge co-creation, Inner transformation"
TCA3_018,Table SM.3.18,Karl Polanyi's “The Great Transformation”,"Transformation” In “The Great Transformation”, Karl Polanyi (Polanyi, 2001) argued that when an expanding “self-regulating” market (read as a laisser-faire capitalist) economy takes hold, land (nature), labour and money would become “fictitious commodities”, leading the separation of the economy from society and nature—in his parlance the “first movement”. Pushed to its extreme, this separation could not only ruin societal life but also destroy the entire ecological system. Polanyi distinguishes between regular markets, where goods and services are exchanged and the self-regulating market system, which treats inputs of production as if they were commodities. This institutionalization of land (nature), labour and money as commodities is seen by Polanyi as a defining characteristic of capitalism (Dale, 2016; Devine, 2019). To the extent that the economy becomes a separate and distinct sphere, it would transform all relational aspects into mere cost-and-benefit accounting (Madra & Adaman, 2014). As such, The Great Transformation, in addition to being a fascinating economic history book on capitalism, can equally be seen as a critic of neoliberalism17 avant la letter (Adaman, 2017).

Despite these consequences, Polanyi believes that the destruction he describes would never fully occur because the first movement would inevitably trigger a counter-movement of self-protection. This “double movement” would involve humanity re-establishing the integration of the economy into society and nature, thus regulating conditions favourable to market expansion. The tension between market logic and society’s efforts to protect itself from the outcomes of that logic will always exist; and as long as the economy remains detached, humanity cannot establish its dominance. Polanyi calls for a system where the market is no longer self-regulating, even in principle, as it would no longer encompass labour, land and money.",Structural,
TCA3_019,Table SM.3.19,Marxist theory,"Marxist theory is a theoretical framework for understanding modern capitalist societies and their historicity that builds on Karl Marx’s critique of the political economy of his time which he published in Das Kapital and his lifelong work. Marxist theory is concerned with understanding the exploitation of wage workers, value creation and with deciphering the dynamic of capital accumulation that is a motor of capitalist societies. Marxist theory today has been developed further and broadened, to incorporate e. g. feminism and gender issues (Federici, 2021), to account for racial inequality (Robinson, 2019) and to incorporate more clearly analyses of the metabolism between society and nature (Foster, 1999). While Marx has not specifically dealt with the problem of biodiversity loss and nature’s decline, the environment is present in his original work, especially in his concept of ecological crises that originate from a metabolic rift18 in pre-capitalist society-nature-metabolisms created by industrial capitalism. Political economic research is only just beginning to address the problem of biodiversity loss and nature’s decline and policies for protecting biodiversity from a political economic perspective (S. Ghosh, 2015). Yet, according to Marxist theory, the capitalist organization of the economy is a root cause of biodiversity loss and nature’s decline since capitalist profit making involves the production of environmental externalities (Saave, 2021), such as biodiversity loss and nature’s decline or global warming.",Structural,Empowerment
TCA3_020,Table SM.3.20,Rational choice theory,"Rational choice theory assumes that individuals are rational in their choices and actions. According to this theory, rational individual behaviour in markets and social choice processes includes the comparison of costs and benefits of taking an action such that individuals or societies try to receive the highest benefit at the least possible cost. Bounded by their preferences, individuals are assumed to act on their free will and consistently based on the premise of individual utility maximization and self-interest. The repercussions of the theory can be traced in organizational theory, game theory, Coase theorem, utilitarianism and so on.",Structures,Science & Technology
TCA3_021,Table SM.3.21,Institutional analysis,"Institutional analysis, rooted in new institutionalism, is a methodological approach that offers invaluable insights into comprehending and addressing natural resource governance issues (Cumming et al., 2020). This interdisciplinary field, primarily advanced by Elinor Ostrom and her colleagues, delves into the intricate web of rules, norms and shared strategies that mold human behaviours (Ostrom, 2009b). Central to institutional analysis is its challenge to the conventional wisdom that governance solutions can be solely derived from the State or market. The groundbreaking work of Elinor Ostrom and her collaborators revealed a richness in the diverse institutions that co-evolved to successfully govern common-pool resources. Moving beyond conventional approaches towards community-based and polycentric institutions have played a crucial role in fostering sustainable resource management practices and especially in shifting power towards local and/or historically marginalized communities (Nagendra & Ostrom, 2012). At the core of institutional analysis lies the Institutional Analysis and Development Framework, which serves as a cornerstone of this field. This framework provides a conceptual structure for comprehending the generation of rules, norms and shared strategies and how they exert influence over human decision-making within specific action arenas (Ostrom, 2009b). A pivotal concept within institutional analysis is polycentric governance, which encompasses a complex interplay of entities, including governments and non-governmental organizations, in the creation and maintenance of institutions (Morrison et al., 2023). Although sometimes employing a polycentric lens, empirical institutional literature infrequently considered multiple levels dimensions with the richest case studies focused on the community levels. Contemporary institutional biodiversity research has shifted to multi-level institutional analyses that focus on the local to international. This evolution provides a more holistic understanding of governance structures necessary to transform for the current biodiversity challenges. Institutional analysts' examination of rules, norms and shared strategies, alongside exploration of institutional change within multi-level and polycentric governance systems provides a foundation for understanding how to shape human behaviour and more sustainably govern biodiversity (Dietz et al., 2003).",Structural,"Knowlodge co-creation, Systems, Empowerment"
TCA3_022,Table SM.3.22,Ecological civilization,"Ecological civilization19 framework is a comprehensive and systematic regulation and ideological system that encourages coexistence between human and nature, among human beings and their relation to the society (Ma & Wei, 2021; Xue et al., 2023). Its root lies in ancient Chinese Taoist philosophy of the “Unity of Man and Nature”. It advocates the harmonious relationships between socioeconomic development and environmental protections, including biodiversity conservation (Ma & Wei, 2021). It evolves from philosophical and academic concepts to practical endeavours, especially after 2007 when it became the fundamental framework to build a moderately prosperous society in China (Xue et al., 2023). It manifests in various ways including developing environmental laws and policies, encouraging green technological innovations, protecting natural ecosystems and conserving biodiversity, as well as involving multiple stakeholders in decision-making (IPBES, 2019b; Ma & Wei, 2021). Under the umbrella of the framework, the ideas of “lucid waters and lush mountains are invaluable assets” and “mountains, rivers, forests, fields, lakes, grass and deserts are a community of life” are proposed to foster ecological civilization constructions (Geall & Ely, 2018).",Structural,"Systems, Science & Technology"
TCA3_023,Table SM.3.23,Governmentality,"Drawing on his observations of the change in statecraft in 18th-century Western Europe, Foucault redefines “government” as “a form of activity aiming to shape, guide, or affect the conduct of some person or persons,” i.e., “the conduct of conduct” (Burchell et al., 1991). He refers to the exercise of government as “governmentality”. Environmental social scientists have developed Foucault’s ideas of government and governmentality to understand the various ways through which pro-environmental behaviours are shaped. By combining governmentality with environmental governance–referred to as “environmentality”– Agrawal (2005) and others use governmentality to examine how technologies of government produce “environmental subjects” (Dressler, 2014; P. West, 2006). Critical political ecologists relate environmental governmentality with the neoliberalization of environmental regulation, developing the concepts of “green governmentality” (Rutherford, 2011) “neoliberal governmentality” (Fletcher, 2010). They argue that recent market-based environmental schemes such as payment for ecosystem services, ecotourism and carbon offsetting are designed to promote market-centred understandings of nature and consumption-based environmental behaviours.",Structural,Science & Technology
TCA3_024,Table SM.3.24,Degrowth and post-growth studies,"A sustainable society equitably meets everybody’s needs within the ecological limits of the planet. Economic growth (i.e., gross domestic product growth) has become a central goal and measure of success for societies around the world. However, economic growth has been driving biodiversity loss and nature’s decline and climate change, because all economic activity needs energy and materials and results in some amount of pollution. There is no evidence that economic growth can be sufficiently decoupled from environmental pressures. Furthermore, the last few decades of global economic growth has left the poor in poverty and made the rich richer. Thus, addressing today’s social and environmental crises implies fundamental changes to socio-economic systems, to equitably meet needs without economic growth. This entails re-orienting societal goals away from economic growth to material sufficiency. Communities that are currently overconsuming need to reduce their consumption so that deprived communities can increase their consumption to a level of sufficiency.

Degrowth scholarship and degrowth policy recommendations are diverse. However, there is a high level of consensus on the following aspects. Policies could shift from focusing on gross domestic product to focus instead on public health indicators (including ecological functioning). An increased sharing and swapping of existing resources can meet more needs with less impact. Production, consumption and work could decrease. Accordingly, businesses and markets would shift away from for-profit structures. For-profit markets tend to drive overconsumption, growth, inequality, market concentration and political capture, because their legal purpose is to enrich private owners. Instead, not-for-profit businesses and markets can complement community provisioning, because they treat profit only as a means to achieve social benefit. All of this can result in society’s limited resources (including the surplus) going to where they are needed most, rather than accumulating in the hands of the wealthy. This can increase the quality of life for most people within ecological limits.",Structural,Systems
