Title of the Example or Article,Abstract or Summary,Link,Type of Example (Perspective/Case Study/Case studies/Review/Empirical). Case study = examples that represent one case study ; case studies = articles that contain multiple case studies ; perspective = articles that offer perspectives without cases ; Review = articles that review other literature ; empirical = articles using empirical data/experiments but do not represent case studies
 Algorithmic Justice League,"The Algorithmic Justice League is an organization that combines art and research to illuminate the social implications and harms of artificial intelligence. The AJL conducts and supports research that exposes biases within AI and develops practices for accountability during the design, development, and deployment stages of AI systems. Buolamwini's own research, which uncovered the inaccuracy of facial recognition software—especially when identifying women and people of color—led to the influential paper ""Gender Shades."" This research became a seminal work in the field, highlighting the need for more inclusive and ethical AI.


",https://www.ajl.org/,case study
Empatheater ,"Empatheatre is a research-based, theatre-making methodology that emerged from friendship and solidarity between artists, academic researchers and responsive citizens. The process begins with extensive action-based research in which co-participants and key partners work to identify matters of concern and a pressing central question. Complex problems in unequal societies require careful yet rigorous explorations of different ways of knowing, being and doing. When popular and political debates are polarised and filled with judgements, entangled livelihoods and marginalised voices are often ignored. It’s why we believe that creative and empathetic methods can facilitate multiple forms of listening to and sharing knowledge across diverse publics. Empatheatre is one such method. Emerging from the South African context, Empatheatre has, over the past five years, developed innovative new ways of constructing social spaces for equitable public dialogue. Creating an amphitheatre for empathy that embraces rather than shies away from complex entanglements in society. 
",https://www.empatheatre.com/about,case study
Fishing transformations,"Context-specific and solution-oriented collaborative environments, also known as transformative spaces, provide an ideal setting for building inspirational visions which in turn are compasses to articulate and encourage actions in the present toward shaping desired futures. The collective creation of visions –as images or stories– allow for the identification of common goals, the critical appraisal of change strategies and their implications (both rationally and emotionally) as well as the identification and imagination of alternatives –all of which help enhance collective agency. Besides, such visions make opportunities for change more visible or transparent to other actors beyond such spaces  and can lead to alignment in terms of values and goals –necessary for systems-level change. Yet, thinking creatively about the future and beyond dominant –western– ideas of progress and development is challenging, and human cognition restrictions bound possible imaginaries, especially those beyond the status-quo. Sustainability transformations represent not just cognitive or technical but also creative challenges. Leveraging the imaginative and disruptive capacity of artistic and design practicesthe arts paves the way to spark and democratize creativity within such transformative spaces, enable the integration of diverse knowledges and forms of evidence  while allowing participants to explore not only what needs to be created, but also what needs to be dismantled. The example showcases the process of co-producing a series of desirable, plural, and meaningful future visions for small-scale fisheries in Uruguay, framed in a food system perspective. Our results are embedded in a transdisciplinary process aimed at co-creating a transformative space that involves leaders of sustainability initiatives of the local food system, researchers from diverse disciplines, and artists. We describe the process of co-creating visions during a visioning workshop based on an art-based method (Collaging Futures).",https://saras-institute.org/fishing-transformations/,case study
EXAMPLES ABOUT IMAGINATION/CREATIVITY FROM THE LITERATURE,,,
Realising potentials for arts‐based sustainability science,"In recent years, a profusion of methods, practices, and experiences has emerged in the interface between arts and sustain- ability science. Drawing from two strong currents within sustainability science, namely, the emphasis on transdisciplinary approaches and the need to move towards societal transformations, such hybrid approaches seemingly contribute with unique methods to sustainability research. Despite repeated claims from sustainability scientists about art’s role in sustainability transformations, joint analyses with artists and practitioners are still rare. We conveyed a collaborative and exploratory workshop with scientists, artists, and practitioners from the fields of education, public engagement, and activism to identify the potentials for arts-based sustainability research. Participants were invited to facilitate and trial various artistic practices from disciplines of performative, literary, narrative, audio-visual and plastic arts. In this paper, we present five key areas identified in the workshop, where arts-based methods can significantly contribute to sustainability research: embracing more- than-cognitive aspects of knowledge, improving communication, grappling with power dynamics, shifting relationships to nature, and facilitating futures visioning. Workshop participants also identified challenges related to power dynamics, tensions across paradigms, and implementation conditions, providing insights into how to leverage arts’ potential to respond to global environmental challenges while boosting societal transformations. We then discuss research questions identified that address challenges and limitations for arts-based research in sustainability. Overall, these results suggest there are yet untapped resources and experiences within the field of arts-based sustainability science. (Audio-visual abstract available on S1)",https://doi.org/10.1007/s11625-021-01002-0,empirical
Imagining Collective Futures,"It is a commonly held assumption among cultural, social, and political psychologists that imagining the future of societies we live in has the potential to change how we think and act in the world. However little research has been devoted to whether this effect exists in collective imaginations, of social groups, communities and nations, for instance. This book explores the part that imagination and creativity play in the construction of collective futures, and the diversity of outlets in which these are presented, from fiction and cultural symbols to science and technology. The authors discuss this effect in social phenomena such as in intergroup conflict and social change, and focus on several cases studies to illustrate how the imagination of collective futures can guide social and political action. This book brings together theoretical and empirical contributions from cultural, social, and political psychology to offer insight into our constant (re)imagination of the societies in which we live.",https://link.springer.com/book/10.1007/978-3-319-76051-3,perspective
Imagination and transformations to sustainable and just futures,"The ability of individuals and groups to identify, assess, and pursue alternative possible futures is an essential component of their ability to deliberately and collectively respond to major sustainability challenges rather than experience unguided or forced change. Deliberately engaging in transformation processes inevitably requires imagination. We refer to imagination for transformations as interdependent cognitive and social processes that create representations of present and possible future states of the world that can inform public deliberation, policy, decision making, and behavior from the individual to the global scale. We contend that imagination is an essential capacity for securing ecological, social, economic, and cultural well-being in times of rapid and often unpredictable global change. We sketch an emerging interdisciplinary research agenda on imagination as a transformational capacity and its role in transformation processes, building on contributions to a special issue on this subject. We specifically focus on imagination in relationship to transformative agency, causation, and individual-collective dynamics. Our aim is to identify research questions and challenges that are most pressing with a view to supporting efforts of transformations toward sustainability.",https://doi.org/10.1525/elementa.2020.081,perspective
"Utopias and World-Making: Time, Transformation and the Collective Imagination","Utopias have a long and contested history of steering social change; bringing the imagined ideal collective future into reality has been seen as both a noble endeavour and the herald of totalitarian regimes and political violence. This chapter will investigate this tension in two parts: the first will explore the distinctly human future-oriented psychology and argue that imagination is central to human thinking and social organisation. The second part will discuss the role of utopias in motivating and guiding social change. We will explore the dangers of utopianism and conclude that while we need utopian visions to chart the shared path forward, it is essential that such visions are not hegemonic, but a polyphonic and ever-evolving collective imagination of the future.",https://link.springer.com/chapter/10.1007/978-3-319-76051-3_7,perspective
Imaginary politics: Climate change and making the future,"Climate change places major transformational demands on modern societies. Transformations require the capacity to collectively envision and meaningfully debate realistic and desirable futures. Without such a collective imagination capacity and active deliberation processes, societies lack both the motivation for change and guidance for decision-making in a certain direction of change. Recent arguments that science fiction can play a role in societal transformation processes is not yet supported by theory or empirical evidence. Advancing the argument that fiction can support sustainability transformations, this paper makes four contributions. First, building on the imaginary concept, I introduce and define the idea of socio-climatic imaginaries. Second, I develop a theory of imagination as linked cognitive-social processes that enable the creation of collectively shared visions of future states of the world. This theory addresses the dynamics that bridge imagination processes in the individual mind and collective imagining that informs social and political decision-making. Third, emphasizing the political nature of creating and contesting imaginaries in a society, I introduce the role of power and agency in this theory of collective imagination. I argue that both ideational and structural power concepts are relevant for understanding the potential societal influence of climate fiction. Finally, the paper illuminates these different forms of transformational power and agency with two brief case studies: two climate fiction novels. I contrast a dystopian and utopian science fiction novel – Paolo Bacigalupi’s The Water Knife (2015) and Kim Stanley Robinson’s Green Earth (2015). The two books are very similar in their power/agency profile, but the comparison provides initial insights into the different roles of optimistic and pessimistic future visions.",https://doi.org/10.1525/elementa.249,case studies
‘Not to escape the world but to join it’: responding to climate change with imagination not fantasy,"The work of climate scientists, demonstrating human-driven climate change, has not provoked the widespread and far-reaching changes to human behaviour necessary to avert potentially catastrophic environmental trajectories. This work has not yet sufficiently been able to engage the individual and collective imagination. Drawing on Samuel Taylor Coleridge (1772–1834) and Iris Murdoch (1919–1999), we can distinguish two modes under which the human imagination can operate: in Murdoch's terms, these are ‘imagination’ and ‘fantasy’. To relate imaginatively is to be willing to allow one's internal image of the world to be changed by what one encounters, while an outlook characterized by fantasy relates to the world as one would wish it were, rather than how it actually is. Fantasy, therefore, operates not only among those who deny climate change, but also among those who entertain the promise of a technological solution too optimistically. An imaginative outlook, by contrast, evaluates actions and patterns of behaviour in terms of their relation to a wider whole. This is necessary for providing the degree of agency required to step out of a cycle of ever accelerating production, which is explored in terms of an analogy to a discussion of revenge and forgiveness from Hannah Arendt (1906–1975). Ultimately, the need to engage the imagination is an opportunity as well as a challenge. To live imaginatively is fulfilling, and that is precisely what the challenges of climate change require.",https://doi.org/10.1098/rsta.2016.0365,perspective
Creativity as a Drive for Change,"This article argues that society as a whole and planning in particular need more creative responses to the problems and challenges they face. Planning needs creativity to imagine and to construct (structurally) different futures. First, the article briefly analyses two case studies: the Hasselt case as an example of creative transport planning and creative local governance; and the Perth case as an example of distorted creativity. Then the article questions the nature of planning creativity needs and looks for a systematic method. Scenario building turns out to be an excellent tool for conceiving possible futures and their processes, what must be changed first and what next. Just as there are many traditions and collective practices there are also many images of what a society wants to achieve. As the opportunities for implementing images are not equal the article reflects on a planning annex governance system that serves all citizens and especially the least powerful. All this has an impact on planners as well. In the final part, the article touches briefly on some preconditions for creativity, on how it could be enhanced and on how realistic the discourse itself is.",https://doi.org/10.1177/1473095205058496,case studies
THE POTENTIAL OF ARTS-BASED TRANSFORMATIVE RESEARCH,"This paper contributes to tourism’s conceptual, methodological and ethical debates by discussing the potential offered by arts-based participatory approaches to enrich tourism knowledge and promote co-transformation at a number of levels. To demonstrate the value of this approach, we discuss how a group of Central and Eastern European (CEE) migrant women engaged with a research project and created artworks to represent their trajectories, mobilities, identities and tourism employment experiences. We outline the benefits and limitations of the methodology and explore how it impacts on: participant involvement and empowerment; voices, self-representation and public engagement; participant, researcher and community (co)transformation; data ownership and anonymity.",https://doi.org/10.1016/j.annals.2012.09.006,case study
"Using futures methods to create transformative spaces: visions of a good
Anthropocene in southern Africa","The unique challenges posed by the Anthropocene require creative ways of engaging with the future and bringing about
transformative change. Envisioning positive futures is a first step in creating a shared understanding and commitment that enables
radical transformations toward sustainability in a world defined by complexity, diversity, and uncertainty. However, to create a
transformative space in which truly unknowable futures can be explored, new experimental approaches are needed that go beyond
merely extrapolating from the present into archetypal scenarios of the future. Here, we present a process of creative visioning where
participatory methods and tools from the field of futures studies were combined in a novel way to create and facilitate a transformative
space, with the aim of generating positive narrative visions for southern Africa. We convened a diverse group of participants in a
workshop designed to develop radically different scenarios of good Anthropocenes, based on existing “seeds” of the future in the
present. These seeds are innovative initiatives, practices, and ideas that are present in the world today, but are not currently widespread
or dominant. As a result of a carefully facilitated process that encouraged a multiplicity of perspectives, creative immersion, and
grappling with deeply held assumptions, four radical visions for southern Africa were produced. Although these futures are highly
innovative and exploratory, they still link back to current real-world initiatives and contexts. The key learning that arose from this
experience was the importance of the imagination for transformative thinking, the need to capitalize on diversity to push boundaries,
and finally, the importance of creating a space that enables participants to engage with emotions, beliefs, and complexity. This method
of engagement with the future has the potential to create transformative spaces that inspire and empower people to act toward positive
Anthropocene visions despite the complexity of the sustainability challenge",https://doi.org/10.5751/ES-09907-230119,empirical
The imaginary worlds of sustainability: observations from an interactive art installation,"We report on preliminary results from a public engagement project based on a procedural approach to sustainability. The project centered on an interactive art installation that comprised a live actor, an immersive soundscape featuring a handful of different characters, an interactive touch-table, and four interactive rooms within which participants wandered, partially guided by a narrative through-line, yet at the same time left to make sense of any larger meanings on their own. The installation was designed to experiment with two propositions: (1) that there is value in public engagement with sustainability based on the exploration and articulation of deeply held beliefs about the world—the worldviews, values, and presuppositions that mediate perception and action; (2) that there is value in replacing the infocentric tendency of most public engagement on sustainability with an approach premised in aesthetics and experiential resonance. Following the installation’s two-week pilot run, our preliminary results indicated that the majority of participants found the experience both resonant and thought provoking, and were mostly willing to critically engage with their pre-existing notions of sustainability.",https://doi.org/10.5751/ES-09240-220217,case study
"Transformational adaptation from the bottom-up: arts, alternative imaginaries, and everyday forms of resistance","Over the past decade, transformational adaptation has become a widely used concept in critical climate change adaptation debates. However, questions remain about how systems are transformed, who defines transformation, or when transformation is achieved. This paper focuses on the “how” of transformation and urges future research to theorize with the creative fields, arts-based methods, and artmaking as ‘everyday forms’ of resistance. We frame literature that focuses on mechanisms of change, such as institutions, governments, and organizations, as “top-down,” and feminist, decolonial, and resistance literature as “bottom-up” understandings of transformation. While top-down analyses are important, feminist, decolonial, and resistance literature remain at the margins of scholarship on transformation. Creative fields and methods often attend to, the redistribution of power, knowledge production, embodiments, and relationalities that other analyses may lack while also providing an instrumental way to conceptualize transformational adaptation. We assert that an articulation of alternative imaginaries, often through creative means, is an act of resistance and, more specifically, a cultural-epistemological one, using brief examples from multiple contexts around the globe. Moreover, we call for future research to theorize with the arts as an ‘everyday form’ of resistance to conceptualize and embody transformation from the bottom-up.",https://doi.org/10.1080/17565529.2025.2522450,perspective
ART FOR CHANGE: Transformative learning and youth empowerment in a changing climate,"Young people represent a powerful force for social change, and they have an important role to play in climate change responses. However, empowering young people to be ""systems changers"" is not straightforward. It is particularly challenging within educational systems that prioritize instrumental learning over critical thinking and creative actions. History has shown that by creating novel spaces for reflexivity and experimentation, the arts have played a role in shifting mindsets and opening up new political horizons. In this paper, we explore the role of art as a driver for societal transformation in a changing climate and consider how an experiment with change can facilitate reflection on relationships between individual change and systems change. Following a review of the literature on transformations, transformative learning and the role of art, we describe an experiment with change carried out with students at an Art High School in Lisbon, Portugal, which involved choosing one sustainable behavior and adopting it for 30 days. A transformative program encouraged regular reflection and group discussions. During the experiment, students started developing an art project about his or her experience with change. The results show that a transformative learning approach that engages students with art can support critical thinking and climate change awareness, new perspectives and a sense of empowerment. Experiential, arts-based approaches also have the potential to create direct and indirect effects beyond the involved participants. We conclude that climate-related art projects can serve as more than a form of science communication. They represent a process of opening up imaginative spaces where audiences can move more freely and reconsider the role of humans as responsible beings with agency and a stake in sustainability transformations.",https://doi.org/10.1525/elementa.390,empirical
"“Narrative images” as a learning approach: (transformative) adaptation scenarios for dealing with urban water risks in Hamburg, Germany","In recent years, weather-related extreme events have shown the limits of technical approaches to urban water challenges and highlighted the urgent need to rethink the relationship between cities and water and to see water as a partner in shaping transformative, climate-safe and just urban futures. However, existing scientific studies depicting future trajectories of urban water management have struggled to make the intertwined social and ecological dynamics of (transformative) urban adaptation tangible and accessible. This study focuses on the potential of visual communication of scenarios to stimulate both learning among scientists (during the process of creating the scenarios) and social learning (as a next step using the developed “narrative images”) to motivate diverse societal actors to engage with the complexity of sustainable urban water management. Art can overcome barriers of scientific and technical concepts and touch peoples' inner motivation for preserving and sustainably transforming our cities in a way that written texts cannot. As sustainability challenges transcend disciplines, this study draws methodically on an interdisciplinary scenario approach. Three adaptation scenarios were developed in a participatory process and professionally visualized as “narrative images” using the city of Hamburg as a case study. The scenarios take place in 2050 depicting a gradient ranging from coping to incremental adaptation to transformative adaptation for managing the water-adaptation nexus: “Water defensive city,” “Water resilient city,” and “Water aware city.” The scenario study shows innovatively how to bring the humanities, natural and engineering sciences into a deliberative dialog, while at the same time promoting collective learning. It can serve as a model for successful future interdisciplinary research and scenario developing exercises.

",https://doi.org/10.3389/frsc.2024.1430257,empirical
"Restoring our senses, restoring the Earth. Fostering imaginative capacities through the arts for envisioning climate transformations","Humanity has never lived in a world of global average temperature above two degrees of current levels. Moving towards such High-End Climate Change (HECC) futures presents fundamental challenges to current governance structures and involves the need to confront high uncertainties, non-linear dynamics and multiple irreversibilities in global social-ecological systems. In order to face HECC, imaginative practices able to support multiple ways of learning about and experiencing the future are necessary. In this article we analysed a set of arts-based activities conducted within the five-year EU-funded project IMPRESSIONS aimed at identifying transformative strategies to high-end climate change. The exploratory artistic activities were carried out alongside a science-led participatory integrated assessment process with stakeholders from the Iberian Peninsula. Our arts-based approach combined a range of performative, visual and reflexive practices with the ambition to reach out to more-than-rational but also practical elements of HECC futures. Our study suggests that the arts-based approach helped to bring out new ways of seeing, feeling and interpreting the world which may support the development of individual and collective sensibilities needed to address HECC.",https://doi.org/10.1525/elementa.330,case study
Building capacities for transformative change towards sustainability: Imagination in Intergovernmental Science-Policy Scenario Processes ,"Scenario development has been recognized as a potential method to explore future change and stimulate a reflective process that can contribute to more informed decision-making. The assessment process under IPBES (the Intergovernmental Science-Policy Platform on Biodiversity and Ecosystem Services) has however shown that the current predominantly biophysical and economic models and scenario processes for exploring the future of biodiversity, ecosystem services and their contributions to human wellbeing are insufficient to capture the complexity and context-specific nature of the problems facing these sectors. Several important challenges have been identified that require a more in-depth analysis of where more imaginative scenario efforts can be undertaken to address this gap. In this paper, we identify six key characteristics necessary for scenario processes: adaptability across diverse contexts, inclusion of diverse knowledge and value systems, legitimate stakeholder engagement that foregrounds the role of power and politics, an ability to grapple with uncertainty, individual and collective thinking mechanisms and relevance to policy making. We compared four cases of imaginative, arts-based scenario processes that each offer aspects of meeting these criteria. These approaches emphasise the importance of engaging the imagination of those involved in a process and harnessing it as a tool for identifying and conceptualising more transformative future trajectories. Drawing on the existing literature, we argue that there is value in fostering more inclusive and creative participatory processes that acknowledge the importance of understanding multiple value systems and relationships in order to reimagine a more inclusive and just future. Based on this, we reflect on future research to understand the transformative role that imagination can play in altering and enhancing knowledge-making for global assessments, including IPBES. We conclude that creative scenario co-development processes that promote imagination and create an opening for more empathetic responses should be considered as complementary tools within the suite of methodologies used for future IPBES scenario development.",https://doi.org/10.1525/elementa.374,case studies
"Creative, embodied practices, and the potentialities for sustainability transformations","This paper argues for an integrative approach to sustainability transformations, one that reconnects body and mind, that fuses art and science and that integrates diverse forms of knowledge in an open, collaborative and creative way. It responds to scholarship emphasizing the importance of connecting disparate ways of knowing, including scientific, artistic, embodied and local knowledges to better understand environmental change and to foster community resilience and engagement. This paper draws on the experience of an arts-based project in Lisbon, Portugal, and explores embodied and performative practices and their potential for climate change transformations. It puts forward and enlivens an example, where such forms of engaging communities can provide new insight into how equitable, just and sustainable transformations can come about. The process involved a series of interactive workshops with diverse arts-based methods and embodied practices to create performative material. From this process, a space emerged for the creation of meaning about climate change. Three key elements stood out in this process as being potentially important for the emergence of meaning-making and for understanding the impact of the project: the use of metaphors, embedding the project locally, and the use of creative, embodied practices. This furthers research, suggesting that the arts can play a critical role in engaging people with new perspectives on climate change and sustainability issues by offering opportunities for critical reflection and providing spaces for creative imagination and experimentation. Such processes may be important for contributing to the changes needed to realize transformations to sustainability.",https://link.springer.com/article/10.1007/s11625-021-01000-2,case study
Creative Art Therapy in a Community's Participatory Research and Social Transformation,"When people come together in community to practice critical inquiry, they develop a capacity to see, reflect, and become subjects of their own development. This article describes arts-based participatory action research in partnership with a nongovernmental organization in Central America. Creative art therapy was culturally adapted and practiced on the macro level to facilitate a community's art-based research, achieving outcomes that contributed to social action and transformation. Popular education, a grassroots pedagogy that aims to transform oppressive power structures, reinforced group norms and facilitation. The results showed that community-based creative art therapy in participatory action research strengthened the personal, spiritual, and social development of the co-researchers, which in turn multiplied broader impacts on their communities.",https://doi.org/10.1080/07421656.2011.578238,case study
Creative arts for sustainability transformations—Exploring children’s theater for the UN Sustainable Development Goals ,"This article responds to recent calls for more creative expressions of climate and sustainability transformations. In particular, research literature argues that the formulation of new narratives of sustainable societies may function as a prominent intervention for system changes. Yet, few empirical studies exist on how creative climate and sustainability storytelling elicit varying levels of awareness and engagement. With the intention to advance scholarship in the role of narratives to create engagement with sustainability transformations, this study investigates children’s theater for the UN Sustainable Development Goals (SDGs) as one research site. By analyzing the interactive children’s theater play “Esmeralda and the Dragon—The Global Sustainability Goals,” we show that creative storytelling can offer a meaningful space for engagement with Agenda 2030 and the UN SDGs. In particular, we find that (1) children’s cognitive and emotional associations and experiences shape the meaning of and responses to the SDGs and (2) the play’s fictional elements resonate with children’s emotional frameworks. Based on the results, we argue that new stories are needed for sustainability transformations and that there is transformative power in the creative and performance arts in this respect, and we call for further exploration of various publics engagements with sustainability storytelling.",https://doi.org/10.1525/elementa.2022.00124,case study
